<<<<<<< HEAD
month_solid,heures
2025-03,770.3474999999997
2025-04,2263.1894444444447
2025-05,2501.2855555555557
2025-06,1900.2333333333333
2025-07,2112.290555555556
2025-08,1986.6444444444444
2025-09,2167.8216666666663
2025-10,409.1674999999998
2025-11,501.3399999999991
2025-12,2704.345277777778
2026-01,2453.8166666666666
2026-02,2148.6055555555554
2026-03,1074.193888888889
=======
year_solid,month_solid,duration_hours
2025,3,770.3474999999997
2025,4,2263.1894444444447
2025,5,2501.2855555555557
2025,6,1900.2333333333333
2025,7,2112.290555555556
2025,8,1986.6444444444444
2025,9,2167.8216666666663
2025,10,409.1674999999998
2025,11,501.3399999999991
2025,12,2704.345277777778
2026,1,2453.8166666666666
2026,2,2148.6055555555554
2026,3,1074.193888888889
>>>>>>> 55bb3c6c647ea5d653ac19d09b1573e10a5f1164
