Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Status,Created,Custom field (Equipe Dédiée),Custom field (Criticité),Custom field (Eng. Documentation),Custom field (Engagement DIAGNOSTIC),Custom field (Engagement CR),Custom field (Engagement TEST),Custom field (Eng. TEST Supplémentaire),Custom field (Eng. Vérification données),Custom field (Eng. Test P3),Custom field (Eng. Test P2),Custom field (Eng. Test P1),Custom field (Team),Σ Remaining Estimate,Σ Original Estimate,Custom field (Estimation Test),Remaining Estimate,Original estimate,Resolved,Custom field (Story point estimate),Custom field (Story Points),Custom field (Development),Custom field (Eng. Développement P1),Custom field (Eng. Développement P2),Custom field (Eng. Développement P3),Custom field (Engagement DÉVELOPPEMENT),Custom field (Provoqué Par),Custom field (Provoqué Par)Id,Custom field (Scope),Reporter,Reporter Id
Support,AWA-11945,56851,[ARVEA MIDDLE EAST] : AC Boost 25% KUWAIT- UAE & OMAN - 27/11/2025,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,01/Dec/25 2:27 PM,équipe support et maintenance,,,,5,,,,,,,,600,600,,600,600,01/Dec/25 4:44 PM,,,{},,,,10m,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Task,AWA-11944,56850,Synchronisation de la branche Branch Shifting Modular(Postgres) avec la branche master et résolution des conflits,Wael Dghaies,6149e14a72728e006f96a35e,Déployé,01/Dec/25 2:26 PM,équipe support et maintenance,,,,0,,,,,,,,28800,28800,,28800,28800,02/Dec/25 3:34 PM,,,{},,,,660,,,Migration vers Postgres,Wael Dghaies,6149e14a72728e006f96a35e
Support,AWA-11943,56849,[TN] [LY]: AC Boost 30% ,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,01/Dec/25 2:20 PM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,01/Dec/25 4:46 PM,,,{},,,,10,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Support,AWA-11942,56847,[DZ] : AC Boost +30% du 04 au 06 Décembre 2025,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,01/Dec/25 2:16 PM,équipe support et maintenance,,,,5,,,,,,,,600,600,,600,600,01/Dec/25 4:47 PM,,,{},,,,10,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Support,AWA-11941,56778,[LY] Insertion bon d'achats dans le système / Actions « Voucher Day’s » 29-11-2025,Asma Ayari,5d0a4409307c2e0bc4038d00,Terminé,01/Dec/25 10:34 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,01/Dec/25 3:07 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-01T11:50:01.030+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,13,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Support,AWA-11940,56777,[TN] Insertion bon d'achats dans le système / Actions « Gamme miracle» 29-11-2025,Asma Ayari,5d0a4409307c2e0bc4038d00,Terminé,01/Dec/25 10:29 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,01/Dec/25 12:56 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-01T11:28:24.395+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,7,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Support,AWA-11939,56775,[Egypte] Super démarrage exceptionnel pour les conseillers Egyptiens Liste 5 Décembre,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,01/Dec/25 10:19 AM,équipe support et maintenance,,,,5,,,,,,,,1800,1800,,1800,1800,01/Dec/25 2:45 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-01T11:52:26.062+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,30,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Bug,AWA-11937,56723,[Bonus Box : Ajustement de crédit / La validation du fichier a échoué,Wael Dghaies,6149e14a72728e006f96a35e,Déployé,29/Nov/25 3:28 PM,équipe support et maintenance,,,,0,,,,,,,,1800,1800,,1800,1800,01/Dec/25 10:01 AM,,,{},,,,0,,,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Bug,AWA-11936,56722,[PROD] Absence du QR code d’accusé de réception sur les factures en Égypte,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,29/Nov/25 12:27 PM,équipe support et maintenance,,,50,0,,,,,,,,10800,10800,,10800,10800,23/Dec/25 10:27 AM,,,"{branch={count=1, dataType=branch}, json={""cachedValue"":{""errors"":[],""summary"":{""branch"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-20T17:09:07.000+0100"",""dataType"":""branch""},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,0,,,Gestion des codes à barre,Habib Dhahak,602996a97b23f40068416aa1
Bug,AWA-11935,56721,[Bonus Box]partenaire non déconnecté suite à un changement pays d'exercice ,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,29/Nov/25 11:35 AM,équipe support et maintenance,🟡 Medium,,,5m,,,,,,,,3600,3600,,3600,3600,29/Nov/25 5:16 PM,,,{},,,,60,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Bonus Box,Sirine Boubaker,5f06f55107efc40028e47d60
Bug,AWA-11934,56720,[Tous pays] Passage 1er commande / Erreur,Wael Dghaies,6149e14a72728e006f96a35e,Déployé,29/Nov/25 11:35 AM,équipe support et maintenance,🔴 Critique,,,2,,,,,,,,1800,1800,,1800,1800,29/Nov/25 12:57 PM,,,{},,,,10,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Bug,AWA-11933,56719,[Bonus Box] Admin/vérification des pièces justificatives : Statut de vérification non actualisé ,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,29/Nov/25 10:57 AM,équipe support et maintenance,🟠 Majeur,,,5m,,,,,,,,3600,3600,,3600,3600,29/Nov/25 4:28 PM,,,{},,,,60,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Bonus Box,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-11932,56718,[LY] Insertion bon d'achats dans le système / Actions « Voucher Day’s » 28-11-2025,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,29/Nov/25 10:54 AM,équipe support et maintenance,,,,5,,,,,,,,1800,1800,,1800,1800,01/Dec/25 9:54 AM,,,{},,,,30,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Support,AWA-11931,56717,[TN] Insertion bon d'achats dans le système / Actions « Gamme miracle» 28-11-2025,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,29/Nov/25 10:53 AM,équipe support et maintenance,,,,5,,,,,,,,1800,1800,,1800,1800,01/Dec/25 9:54 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-11-29T14:17:12.364+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,30,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Bug,AWA-11930,56716,[PROD] Le bouton “Accusé de réception” ne s’affiche pas pour les conseillers en Egypte,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,29/Nov/25 10:34 AM,équipe support et maintenance,,,,0,,,,,,,,0,0,,0,0,23/Dec/25 10:25 AM,,,{},,,,0,,,Accusé de réception,Habib Dhahak,602996a97b23f40068416aa1
Support,AWA-11929,56715,[DZ] : AC Boost +25% du 29 au 30 Novembre 2025 (18h->18h),oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,29/Nov/25 9:50 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,01/Dec/25 9:54 AM,,,{},,,,15,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Exigence,AWA-11928,56714,[Bonus Box] Configuration de réception : Mode de récupération par virement bancaire en Libye ,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,29/Nov/25 8:51 AM,équipe support et maintenance,,,,5m,,,,,,,,3600,3600,,3600,3600,01/Dec/25 5:29 PM,,,"{branch={count=1, dataType=branch}, json={""cachedValue"":{""errors"":[],""summary"":{""branch"":{""overall"":{""count"":1,""lastUpdated"":""2025-11-29T10:04:58.000+0100"",""dataType"":""branch""},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,60,,,Mettre en place un Wallet pour que les partenaires gèrent leurs gains et fassent des retraits.,Sirine Boubaker,5f06f55107efc40028e47d60
